Country Name,Country Code,Indicator Name,Indicator Code,Year,Customs_Import_Duties_LCU
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1990,16810000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1990,2775000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1991,16030000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1991,3195000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1992,17480000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1992,2065000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1993,18930000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1993,3554000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1994,20260000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1994,818000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1995,19440000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1995,5655000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1996,18780000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1996,6200000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1997,18030000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1997,4988500000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1998,18410000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1998,5253700000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1999,18440000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,1999,5610100000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2000,20000000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2000,6856000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2001,20636000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2001,7663000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2002,19938000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2002,8191000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2003,21458100000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2003,8063000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2004,23282900000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2004,12589000000.0
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2005,107998070000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2005,25334900000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2005,18230000000.0
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2006,115750000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2006,26687000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2006,23132000000.0
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2007,145076890000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2007,28793000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2007,25798000000.0
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2008,179010000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2008,29243100000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2008,22119000000.0
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2009,150759765600.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2009,23081000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2009,18966963299.4962
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2010,205446000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2010,28603000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2010,26246070685.4326
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2011,258888000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2011,31891000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2011,33722292729.8627
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2012,282491000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2012,33503000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2012,35089138959.5119
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2013,267415890000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2013,35468000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2013,43230688597.147
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2014,288863910000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2014,37363100000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2014,39547957992.9815
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2015,260781080000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2015,38123000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2015,45134932551.8064
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2016,265177350000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2016,37534000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2016,44716854866.002
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2017,304824768400.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2017,38513000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2017,49151743460.78
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2018,289756341800.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2018,53284000000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2018,55021127862.15
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2019,293939020000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2019,77751700000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2019,54395982456.573
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2020,261797220000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2020,68626600000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2020,45976461137.5669
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2021,286186390000.0
United Kingdom,GBR,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2021,4533000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2021,89101500000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2021,57075833873.2087
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2022,291330940000.0
United Kingdom,GBR,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2022,5490000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2022,102332700000.0
South Africa,ZAF,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2022,73100794990.108
China,CHN,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2023,264846350000.0
United Kingdom,GBR,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2023,5042000000.0
United States,USA,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,2023,81632700000.0
